symbol;yahoo finance
IIIN;https://query1.finance.yahoo.com/v7/finance/download/IIIN?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PODD;https://query1.finance.yahoo.com/v7/finance/download/PODD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INSY;https://query1.finance.yahoo.com/v7/finance/download/INSY?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
NTEC;https://query1.finance.yahoo.com/v7/finance/download/NTEC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IART;https://query1.finance.yahoo.com/v7/finance/download/IART?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IDTI;https://query1.finance.yahoo.com/v7/finance/download/IDTI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMTE;https://query1.finance.yahoo.com/v7/finance/download/IMTE?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INTC;https://query1.finance.yahoo.com/v7/finance/download/INTC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
NTLA;https://query1.finance.yahoo.com/v7/finance/download/NTLA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IPCI;https://query1.finance.yahoo.com/v7/finance/download/IPCI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IPAR;https://query1.finance.yahoo.com/v7/finance/download/IPAR?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IBKR;https://query1.finance.yahoo.com/v7/finance/download/IBKR?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ICPT;https://query1.finance.yahoo.com/v7/finance/download/ICPT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IDCC;https://query1.finance.yahoo.com/v7/finance/download/IDCC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
TILE;https://query1.finance.yahoo.com/v7/finance/download/TILE?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
LINK;https://query1.finance.yahoo.com/v7/finance/download/LINK?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMI;https://query1.finance.yahoo.com/v7/finance/download/IMI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INAP;https://query1.finance.yahoo.com/v7/finance/download/INAP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IBOC;https://query1.finance.yahoo.com/v7/finance/download/IBOC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ISCA;https://query1.finance.yahoo.com/v7/finance/download/ISCA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IGLD;https://query1.finance.yahoo.com/v7/finance/download/IGLD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IIJI;https://query1.finance.yahoo.com/v7/finance/download/IIJI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
